Table 1. Features Included in Final Model (sorted by Descending Importance in Best Model),,,,,,,,,,,
,,,,,,,,,,,
Feature Name,Feature_Importance,Feature_Class,Feature_Description,,,,,,,,
p_tot_pts_won%,NA,TARGET FEATURE,% of total points played in match being predicted won by a given player [0-100],,,,,,,,
p_AVG_C_IP_l60_tw_nss_SOS_adj_diff,0.062337257,Player Past Market Sentiment,"decay time-weighted, non-surface specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 60 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_AVG_C_IP_l10_tw_ss_IO_SOS_adj_diff,0.059950474,Player Past Market Sentiment,"decay time-weighted, surface specific, indoor/outdoor-specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 10 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_tot_pts_won%_l60_tw_ss_SOS_adj_diff,0.05390693,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted, player total points won% over the previous 60 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_AVG_C_IP_l10_tw_nss_SOS_adj_diff,0.052616887,Player Past Market Sentiment,"decay time-weighted, non-surface specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 10 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_rk_pts_diff,0.047081929,Player Past-Performance,player ranking points (player 1 value minus player 2 value in match to be predicted),,,,,,,,
p_tot_pts_won%_l60_tw_ss_IO_diff,0.040320177,Player Past-Performance,"decay time-weighted, surface-specific, indoor/outdoor-specific, player total points won% over the previous 60 matches (player 1 vs player 2 value in match to be predicted)",,,,,,,,
p_AVG_C_IP_l10_tw_ss_SOS_adj_diff,0.029188318,Player Past Market Sentiment,"decay time-weighted, surface specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 10 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_log_rk_diff,0.025038374,Player Past-Performance,log of player ranking (player 1 value minus player 2 value in match to be predicted),,,,,,,,
p_tot_pts_won%_l10_tw_ss_SOS_adj_diff,0.018178357,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted, player total points won% over the previous 10 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_AVG_C_IP_l60_tw_ss_IO_SOS_adj_diff,0.017317706,Player Past Market Sentiment,"decay time-weighted, surface specific, indoor/outdoor-specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 60 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_tot_pts_won%_l10_tw_ss_diff,0.016983046,Player Past-Performance,"decay time-weighted, surface-specific player total points won% over the previous 10 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_2nd_sv_pts_won%_l60_tw_ss_SOS_csp_adj_diff,0.016085568,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted, court speed proxy-adjusted  player 2nd serve points won% over the previous 60 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
