Table 1. Features Included in Final Model (sorted by Descending Importance in Best Model),,,,,,,,,,,
,,,,,,,,,,,
Feature Name,Feature_Importance,Feature_Class,Feature_Description,,,,,,,,
p_tot_pts_won%,NA,TARGET FEATURE,% of total points played in match being predicted won by a given player [0-100],,,,,,,,
p_tot_pts_won%_l60_tw_ss_SOS_adj_diff,0.094154834,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted, player total points won% over the previous 60 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_AVG_C_IP_l60_tw_nss_SOS_adj_diff,0.068892837,Player Past Market Sentiment,"decay time-weighted, non-surface specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 60 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_AVG_C_IP_l10_tw_nss_SOS_adj_diff,0.048219183,Player Past Market Sentiment,"decay time-weighted, non-surface specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 10 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_AVG_C_IP_l10_tw_ss_IO_SOS_adj_diff,0.042969217,Player Past Market Sentiment,"decay time-weighted, surface specific, indoor/outdoor-specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 10 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_tot_pts_won%_l60_tw_ss_IO_diff,0.040496128,Player Past-Performance,"decay time-weighted, surface-specific, indoor/outdoor-specific, player total points won% over the previous 60 matches (player 1 vs player 2 value in match to be predicted)",,,,,,,,
p_AVG_C_IP_l10_tw_ss_SOS_adj_diff,0.030631085,Player Past Market Sentiment,"decay time-weighted, surface specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 10 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_tot_pts_won%_l10_tw_ss_diff,0.027322398,Player Past-Performance,"decay time-weighted, surface-specific player total points won% over the previous 10 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_log_rk_diff,0.025505869,Player Past-Performance,log of player ranking (player 1 value minus player 2 value in match to be predicted),,,,,,,,
p_AVG_C_IP_l60_tw_ss_IO_SOS_adj_diff,0.025024212,Player Past Market Sentiment,"decay time-weighted, surface specific, indoor/outdoor-specific, strength of schedule-adjusted, average closing line-derived implied win probability over the previous 60 matches (player 1 value minus player 2 value value  in match to be predicted)",,,,,,,,
p_tot_pts_won%_l10_tw_ss_SOS_adj_diff,0.021331053,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted, player total points won% over the previous 10 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_sv_pts_won%_l60_tw_ss_SOS_csp_adj_diff,0.017506739,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted, court speed proxy-adjusted player serve points won% over the previous 60 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_1st_sv_opp_1st_ret_pts_won%_l60_tw_ss_SOS_adj_diff,0.016929106,Player Past-Performance,"decay time-weighted, surface-specific, strength of schedule-adjusted (player 1st serve points won% - opponent 1st return points won%) over the previous 60 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
p_sv_pts_won%_l10_tw_ss_IO_SOS_adj_diff,0.01575479,Player Past-Performance,"decay time-weighted, surface-specific,indoor/outdoor-specific, strength of schedule-adjusted player serve points won% over the previous 10 matches (player 1 value minus player 2 value in match to be predicted)",,,,,,,,
